Size,Floor,TotalFloors,CentralHeating,District,Year,Type,BuildingType,Price
273,4,5,НЕ,"град София, Лозенец",2013,МНОГОСТАЕН,Тухла,650000
273,8,8,НЕ,"град София, Център",2020,4-СТАЕН,Тухла,280000
272,4,5,,"град София, Витоша",2010,МЕЗОНЕТ,Тухла,299200
272,5,5,,"град София, Манастирски ливади",2018,4-СТАЕН,Тухла,510000
270,4,5,ДА,"град София, Център",2000,МЕЗОНЕТ,Тухла,405000
270,5,6,НЕ,"град София, Хаджи Димитър",2018,МЕЗОНЕТ,Тухла,199000
270,1,4,НЕ,"град София, Драгалевци",2020,3-СТАЕН,Тухла,231300
270,5,6,ДА,"град София, Лагера",2014,4-СТАЕН,Тухла,350000
269,5,6,ДА,"град София, Студентски град",2008,МЕЗОНЕТ,Тухла,260047
269,9,10,ДА,"град София, Борово",2011,3-СТАЕН,Тухла,219000
269,3,5,НЕ,"град София, Лозенец",2008,4-СТАЕН,Тухла,750000
268,6,6,,"град София, Малашевци",2020,МНОГОСТАЕН,Тухла,295000
268,6,6,Лок.отопл.,"град София, Център",2022,4-СТАЕН,Тухла,111000
268,5,5,Лок.отопл.,"град София, Витоша",2019,4-СТАЕН,Тухла,229900
268,6,6,,"град София, Кръстова вада",2021,3-СТАЕН,Тухла,295000
268,6,6,НЕ,"град София, Кръстова вада",2020,3-СТАЕН,Тухла,294900
268,4,4,,"град София, Драгалевци",2020,3-СТАЕН,Тухла,274197
267,4,5,НЕ,"град София, Изток",2000,МЕЗОНЕТ,Тухла,453000
267,6,6,Лок.отопл.,"град София, Кръстова вада",2019,4-СТАЕН,Тухла,361790
267,4,5,,"град София, Изток",2001,4-СТАЕН,Тухла,459000
267,3,4,НЕ,"град София, Бояна",2009,4-СТАЕН,Тухла,280000
267,4,8,,"град София, Лозенец",2014,3-СТАЕН,Тухла,595000
266,14,16,ДА,"град София, Света Троица",2019,МНОГОСТАЕН,Тухла,400000
266,2,7,ДА,"град София, Зона Б-18",2010,МНОГОСТАЕН,Тухла,319999
266,6,6,ДА,"град София, Студентски град",2022,4-СТАЕН,Тухла,199000
266,1,4,НЕ,"град София, Драгалевци",2022,4-СТАЕН,Тухла,186000
266,6,6,,"град София, Лозенец",2019,4-СТАЕН,Тухла,304660
265,5,6,НЕ,"град София, Лозенец",1999,МНОГОСТАЕН,Тухла,390000
265,4,6,,"град София, Лозенец",2005,4-СТАЕН,Тухла,349000
265,4,4,НЕ,"град София, Карпузица",2005,4-СТАЕН,Тухла,189000
265,13,17,,"град София, Изгрев",2023,4-СТАЕН,Тухла,276300
265,4,8,ДА,"град София, Гоце Делчев",2020,4-СТАЕН,Тухла,300000
264,4,7,ДА,"град София, Бъкстон",2018,МНОГОСТАЕН,Тухла,400980
264,4,8,ДА,"град София, Гоце Делчев",2020,4-СТАЕН,Тухла,349600
264,4,5,НЕ,"град София, Кръстова вада",2014,3-СТАЕН,Тухла,495000
263,5,6,ДА,"град София, Център",2020,4-СТАЕН,Тухла,290000
263,5,6,НЕ,"град София, Лозенец",2014,3-СТАЕН,Тухла,495000
262,5,6,ДА,"град София, Център",2020,МЕЗОНЕТ,Тухла,290000
262,6,6,ДА,"град София, Център",2021,МЕЗОНЕТ,Тухла,290000
262,5,6,ДА,"град София, Център",2020,МЕЗОНЕТ,Тухла,290000
262,6,6,ДА,"град София, Оборище",2021,МЕЗОНЕТ,Тухла,290000
262,5,6,ДА,"град София, Център",2021,МНОГОСТАЕН,Тухла,290000
262,6,6,НЕ,"град София, Кръстова вада",2008,МНОГОСТАЕН,Тухла,275000
